place,mag
"7 km SSE of Bluff City, Kansas",2.7
"24 km SW of Coyanosa, Texas",3.5
"1 km SSE of Standard, Illinois",3.6
"98 km NW of Hihifo, Tonga",4.4
"Cook Strait, New Zealand",4.1
North Island of New Zealand,4.1
"89 km WNW of Bengkulu, Indonesia",4.8
"15 km SW of Petersville, Alaska",2.8
"San Juan, Argentina",4.4
"7 km WSW of Langston, Oklahoma",2.56
Banda Sea,5
"12 km SE of Pinnacles, CA",2.71
"1 km S of Honaunau-Napoopoo, Hawaii",2.5
"95 km NNE of Suárez, Puerto Rico",3.29
"7 km NNE of Matsuzaki, Japan",4.1
Puerto Rico region,2.45
"115 km N of San Juan, Puerto Rico",3.77
"31 km SW of Ashkāsham, Afghanistan",4.9
"6 km SW of Guánica, Puerto Rico",2.51
"70 km NW of Malfa, Italy",4.3
"57 km E of Khorugh, Tajikistan",4.2
"6 km NNW of Marland, Oklahoma",2.54
northwestern Iran,4.3
"10 km NW of The Geysers, CA",2.45
"42 km SE of Ambunti, Papua New Guinea",5.1
"127 km ESE of Sarangani, Philippines",4.6
"87 km SE of Alo, Wallis and Futuna",4.4
"5 km SSE of Pangyan, Philippines",4.4
western Texas,2.8
western Texas,2.7
"Kenai Peninsula, Alaska",3.4
"33 km ENE of Panji, Indonesia",4.6
"2 km NE of Montelparo, Italy",4.4
"3 km WNW of San Lorenzo, Puerto Rico",3.05
